name,start,end,type,rate,votes
1. Cowboy Bebop,1998,1999,TV-14,8.9, (171K)
2. Steins; Gate,2011,2015,TV-14,8.8, (95K)
3. Rurouni Kenshin: Trust & Betrayal,1999,1999,TV-MA,8.6, (18K)
4. Berserk,1997,1998,TV-MA,8.8, (81K)
5. Legend of the Galactic Heroes,1988,1997,TV-MA,9.0, (7.2K)
6. Mushi-Shi,2005,2014,TV-14,8.5, (16K)
7. Lady Oscar: The Rose of Versailles,1979,1980,TV-PG,8.3, (2.8K)
8. Baccano!,2007,2008,TV-MA,8.2, (14K)
9. Hunter X Hunter,2011,2014,TV-14,9.0, (200K)
10. Tomorrow's Joe,1970,1981,TV-14,8.8, (2.8K)
"11. Now and Then, Here and There",1999,2000,16+,7.8, (2.2K)
12. Bunny Drop,2011,2012,TV-PG,8.2, (4.4K)
13. Rurouni Kenshin,1996,1998,TV-14,8.5, (22K)
14. Monster,2004,2005,TV-14,8.8, (73K)
15. Maison Ikkoku,1986,1988,TV-14,8.1, (1.4K)
16. Fighting Spirit,2000,2002,TV-PG,8.8, (19K)
17. Vinland Saga,2019,2023,TV-MA,8.9, (145K)
18. Lupin the Third Part 1,1971,1972,TV-PG,7.8, (2.8K)
19. Death Note,2006,2007,TV-14,8.9, (490K)
20. The Irresponsible Captain Tylor,1993,1996,TV-14,7.7, (597)
21. Ghost in the Shell: Stand Alone Complex,2002,2005,TV-MA,8.5, (22K)
22. Great Teacher Onizuka,1999,2000,TV-MA,8.5, (15K)
23. One Punch Man,2015,,TV-PG,8.6, (228K)
24. Code Geass: Lelouch of the Rebellion,2006,2008,TV-14,8.7, (107K)
25. Romeo's Blue Skies,1995,1995,TV-G,8.7, (1.7K)
26. Black Lagoon,2006,2006,TV-MA,7.9, (21K)
27. Darker Than Black,2007,2010,TV-MA,7.7, (13K)
28. Kaiji: Ultimate Survivor,2007,2011,TV-14,8.2, (5.1K)
29. Neon Genesis Evangelion,1995,1996,TV-MA,8.5, (113K)
30. Moribito: Guardian of the Spirit,2007,2007,TV-PG,8.2, (3.3K)
31. Gungrave,2003,2004,TV-14,7.9, (5.8K)
32. Gurren Lagann,2007,2007,TV-14,8.3, (27K)
33. Claymore,2007,2007,TV-MA,8.0, (17K)
34. Fullmetal Alchemist,2003,2004,TV-PG,8.5, (87K)
35. Haibane Renmei,2002,2002,TV-PG,7.9, (5K)
36. Demon Slayer: Kimetsu no Yaiba,2019,2024,TV-MA,8.5, (231K)
37. Serial Experiments Lain,1998,1998,TV-14,8.0, (23K)
38. Eureka Seven,2005,2006,TV-MA,7.7, (3.6K)
39. Death Parade,2015,2015,TV-MA,7.8, (25K)
40. Super Dimension Fortress Macross,1982,1995,TV-PG,8.4, (2.6K)
41. Spice and Wolf,2008,2009,TV-14,7.7, (5.8K)
42. Phantom: Requiem for the Phantom,2009,2009,TV-MA,7.5, (2.2K)
43. Elfen Lied,2004,2004,TV-MA,7.8, (42K)
44. School Rumble,2004,2010,TV-PG,7.8, (2.4K)
45. Ranma ½,1989,1990,TV-14,7.9, (6.6K)
46. Revolutionary Girl Utena,1997,1997,TV-14,8.1, (2.5K)
47. Natsume's Book of Friends,2008,2025,TV Series,8.1, (3.3K)
48. Inuyasha,2000,2004,TV-14,7.9, (20K)
49. The Twelve Kingdoms,2002,2003,TV Series,7.8, (2.5K)
50. Kaiba,2008,2008,TV-MA,8.0, (2.3K)
51. The Vision of Escaflowne,1996,1996,TV-14,7.7, (4.9K)
52. Yu Yu Hakusho: Ghost Files,1992,1995,TV-PG,8.5, (18K)
53. When They Cry,2006,2006,TV-MA,7.8, (7.5K)
54. Durarara!!,2010,2010,TV-14,7.8, (8.8K)
55. Mobile Suit Gundam,1979,1980,TV-14,7.9, (3.5K)
56. FLCL,2000,2001,TV-14,8.0, (22K)
57. Future Boy Conan,1978,1978,TV-PG,8.8, (5.8K)
58. Gankutsuou: The Count of Monte Cristo,2004,2005,TV-14,7.8, (3.1K)
59. Welcome to the N.H.K.,2006,2006,TV-MA,8.2, (10K)
60. Nobody's Boy: Remi,1977,1978,TV Series,7.9, (1.3K)
61. The Slayers,1995,2009,TV-PG,7.5, (2.6K)
62. Planetes,2003,2004,TV-14,8.1, (4.5K)
63. Kimi Ni Todoke: From Me to You,2009,2024,TV-PG,7.8, (8.6K)
64. City Hunter,1987,1991,TV-14,7.7, (1.9K)
65. Ouran High School Host Club,2006,2006,TV-14,8.1, (14K)
66. Les Miserables: Shoujo Cosette,2007,2007,TV Series,8.3, (724)
67. Michiko & Hatchin,2008,2009,TV-MA,7.5, (1.4K)
68. Bakemonogatari,2009,2013,TV-14,8.0, (8.2K)
69. Mononoke,2007,2007,TV-MA,8.1, (4.1K)
70. Princess Tutu,2002,2003,TV-14,8.0, (1.3K)
"71. Rainbow: The Seven from Compound Two, Cell Six",2010,2010,TV-MA,8.2, (3.9K)
72. The Mysterious Cities of Gold,1982,1983,TV-Y7,8.6, (4.6K)
"73. Goodbye, Mr. Despair",2007,2009,TV Series,7.3, (1.2K)
74. Anne of Green Gables,1979,1979,TV-G,7.7, (2.4K)
75. Space Pirate Captain Harlock,1978,1979,TV Series,7.8, (1.5K)
76. Chobits,2002,2003,TV-14,7.3, (5.2K)
77. Treasure Island,1978,1979,TV-PG,8.4, (1.6K)
78. Urusei Yatsura,1981,1986,TV-PG,7.5, (1.5K)
79. Wolf's Rain,2003,2004,TV-14,7.9, (8.9K)
80. Fist of the North Star,1984,1988,TV-MA,8.1, (4.3K)
81. Samurai Champloo,2004,2005,TV-MA,8.5, (64K)
82. Ef: A Tale of Memories.,2007,2007,TV-MA,7.4, (886)
83. Trigun,1998,1998,TV-14,8.2, (27K)
84. Hellsing Ultimate,2006,2012,Not Rated,8.2, (31K)
85. Toradora!,2008,2009,TV-14,7.9, (24K)
86. Kaleido Star,2003,2004,TV-PG,7.8, (1.1K)
87. Blood+,2005,2006,TV-MA,7.5, (5.3K)
88. Golden Boy,1995,1996,Not Rated,8.0, (9.8K)
89. JoJo's Bizarre Adventure,2012,,TV-MA,8.6, (59K)
90. The Melancholy of Haruhi Suzumiya,2006,2009,TV-14,7.7, (10K)
91. XXXHOLiC,2006,2011,TV-PG,7.6, (2.4K)
92. Nodame Cantabile,2007,2010,TV Series,8.1, (1.6K)
93. Crest of the Stars,1999,1999,TV-14,7.5, (569)
94. Clannad,2007,2009,TV-PG,8.2, (17K)
95. Katanagatari,2010,2010,TV-PG,7.7, (1.8K)
96. Kimagure Orange Road,1985,1988,TV-PG,7.6, (1K)
97. The Future Diary,2011,2013,TV-MA,7.4, (24K)
98. Koi Kaze,2004,2004,TV Mini Series,7.3, (528)
99. Texhnolyze,2003,2003,TV-MA,7.5, (3.7K)
100. The Tatami Galaxy,2010,2010,TV-14,8.4, (5.9K)
