ranking,name,start,end,type,rate
#1,Breaking Bad,2008,2013,TV-MA,9.5
#2,Planet Earth II,2016,Null,TV-G,9.4
#3,Planet Earth,2006,Null,TV-PG,9.4
#4,Band of Brothers,2001,Null,TV-MA,9.4
#5,Chernobyl,2019,Null,TV-MA,9.3
#6,The Wire,2002,2008,TV-MA,9.3
#7,Avatar: The Last Airbender,2005,2008,TV-Y7-FV,9.3
#8,The Sopranos,1999,2007,TV-MA,9.2
#9,Blue Planet II,2017,Null,TV-G,9.3
#10,Cosmos: A Spacetime Odyssey,2014,Null,TV-PG,9.2
#11,Cosmos,1980,Null,TV-PG,9.3
#12,Our Planet,2019,2023,TV-PG,9.2
#13,Game of Thrones,2011,2019,TV-MA,9.2
#14,Bluey,2018,,TV-Y,9.3
#15,The World at War,1973,1974,TV-PG,9.2
#16,Attack on Titan,2013,2023,TV-MA,9.1
#17,Fullmetal Alchemist: Brotherhood,2009,2010,TV-14,9.1
#18,Life,2009,Null,TV-G,9.1
#19,The Last Dance,2020,Null,TV-MA,9.0
#20,The Twilight Zone,1959,1964,TV-PG,9.0
#21,The Vietnam War,2017,Null,TV-MA,9.1
#22,Rick and Morty,2013,,TV-MA,9.0
#23,Sherlock,2010,2017,TV-14,9.0
#24,Batman: The Animated Series,1992,1995,TV-PG,9.0
#25,Better Call Saul,2015,2022,TV-MA,9.0
#26,The Office,2005,2013,TV-14,9.0
#27,Arcane,2021,2024,TV-14,9.0
#28,The Blue Planet,2001,Null,TV-G,9.0
#29,Clarkson's Farm,2021,,TV-PG,9.0
#30,Hunter X Hunter,2011,2014,TV-14,9.0
#31,Scam 1992: The Harshad Mehta Story,2020,Null,TV-14,9.2
#32,Frozen Planet,2011,2012,TV-PG,9.0
#33,Only Fools and Horses,1981,2003,TV-PG,9.0
#34,Human Planet,2011,Null,TV-PG,9.0
#35,The Beatles Anthology,1995,1996,TV-14,9.1
#36,Dexter: Resurrection,2025,,TV-MA,9.0
#37,The Civil War,1990,Null,TV-14,9.0
#38,As If,2021,2025,TV Series,9.0
#39,The Pitt,2025,,TV-MA,8.9
#40,Firefly,2002,2003,TV-14,8.9
#41,Gravity Falls,2012,2016,TV-Y7,8.9
#42,Death Note,2006,2007,TV-14,8.9
#43,Taskmaster,2015,,TV-14,9.0
#44,Frieren: Beyond Journey's End,2023,,TV-14,8.9
#45,Dekalog,1989,1990,TV-MA,8.9
