Title,Company,Location,Type
Data Governance Engineer,Etisalat Egypt -,"Mohandessin, Giza, Egypt","Full Time
On-site"
Senior Data Engineer,Link Development -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Middle Business Data Analyst - BI Engineer,Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Data Engineer,Osloop Development -,"Fleming, Alexandria, Egypt","Full Time
On-site"
Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Operation Engineer Assistant,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Production Engineer,New Marina Plast -,"Bourj Alarab, Alexandria, Egypt","Full Time
On-site"
Production Engineer,EBSS - Elite Business Solution Service -,"Doha, Qatar","Full Time
On-site"
Planning Engineer,Family Corporation -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Production Engineer (Blown Film),Aldawlia For Plastic Materials -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
IoT Platform & Product Development Engineer,Mobi Egypt -,"Cairo, Egypt","Full Time
On-site"
Senior IT Infrastructure Site Engineer,Dtec -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Security Engineer,Misr International Systems -,"Sheikh Zayed, Giza, Egypt","Full Time
On-site"
Quality Control Engineer (Polyethylene Film),Aldawlia For Plastic Materials -,"10th of Ramadan City, Cairo, Egypt","Full Time
On-site"
Applied Scientist / ML Engineer,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Junior IT Infrastructure Engineer,Dtec -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Data Analyst,Confidential -,"New Capital, Cairo, Egypt","Full Time
On-site"
Production Engineer,Hayat -,"Ain Sokhna, Suez, Egypt","Full Time
On-site"
Industrial Engineer (Work Study & Production Improvement),Swiss Garment Company -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Industrial Quality Engineer - Outsourced,Prometeon tyres group – Egypt -,"Ameria, Alexandria, Egypt","Full Time
Hybrid"
Senior Machine Learning Engineer,TechJump -,"Alexandria, Egypt","Full Time
Hybrid"
Data Analyst Engineer,Basco Engineering &Trading -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Middle Data Scientist,Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Senior Data Scientist,Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City, Cairo, Egypt","Full Time
Hybrid"
Production Engineer,AlShrouk Paper -,"Alsadat City, Monufya, Egypt","Full Time
On-site"
Materials Planning Engineer,Confidential -,"10th of Ramadan City, Cairo, Egypt","Full Time
On-site"
BIM Electrical Senior Engineer,Takweenat -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Survey Engineer,Eamar Al Delta -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Senior Project Control Engineer,Concrete Plus -,"North Coast, Alexandria, Egypt","Full Time
On-site"
Artificial Intelligence (AI) Engineer | Alexandria | On-site,Akwad -,"Alexandria, Egypt","Full Time
On-site"
Technical Sales Engineer,INTROL -,"Riyadh, Saudi Arabia","Full Time
On-site"
Central Control Unit Operator,Wadi Group -,"Sheikh Zayed, Giza, Egypt","Full Time
On-site"
Sustainability Program Coordinator,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Data Analyst & Office Manager,Confidential -,"Mohandessin, Giza, Egypt","Full Time
On-site"
Artificial Intelligence & Programming Instructor (High School),Smart IT -,"Nasr City, Cairo, Egypt","Full Time
Part Time
Hybrid"
Data Scientist,MEAHCO - Saudi German Health -,"Katameya, Cairo, Egypt","Full Time
On-site"
Production Manager – Mattress Department,aleman -,"New Damietta, Damietta, Egypt","Full Time
On-site"
Senior Product Owner / Junior Product Manager,3D Diagnostix -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Data Analyst – Analytics & Knowledge Delivery,EpsilonAI -,"Nasr City, Cairo, Egypt","Full Time
Hybrid"
Product Specialist (Laboratory Medical Devices),ADI Egypt -,"Cairo, Egypt","Full Time
On-site"
Senior Mechanical Engineer,EPP -,"Port Said, Egypt","Full Time
On-site"
Senior Engineer - AI & Digital Transformation,Confidential -,"Cairo, Egypt","Full Time
Part Time
Freelance / Project
Remote"
Machine Learning Engineer (Mid–Senior level),Confidential -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
Electrical Project Engineer,Spinneys Egypt -,"Cairo, Egypt","Full Time
On-site"
Pavement Visual Inspection Engineer,Citylogix ME -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Site Engineer,Karnak Group -,"Giza, Egypt","Full Time
On-site"
Production Engineer,AZ Developments -,"Abu Rawash, Giza, Egypt","Full Time
On-site"
Junior Tender Engineer,Delta Egypt For Lighting -,"Obour City, Cairo, Egypt","Full Time
On-site"
Production Engineer,Euromed for medical industries -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Senior Electrical Installations Engineer,Confidential -,"Cairo, Egypt","Full Time
On-site"
Senior Networking Engineer,Talaat Moustafa Group -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Procurement Engineer,Wander developments -,"New Cairo, Cairo, Egypt","Full Time
On-site"
MEP Technical Office Engineer - French Speaker,CSI -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Tendering Estimation Engineer,asquared -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Product Engineer,Alarabia Group -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Process Engineer,Fine Hygienic Holding -,"6th of October, Giza, Egypt","Full Time
On-site"
HVAC Sales Engineer,Heliopolis Engineering and Trading HETO -,"Heliopolis, Cairo, Egypt","Internship
Remote"
Junior Electrical – Power & Light Current Design Engineer - Head Office,ACE Consulting Engineers (Moharram - Bakhoum -,"Dokki, Giza, Egypt","Full Time
On-site"
Senior Civil Procurement Engineer,Reliance Egypt -,"Downtown, Cairo, Egypt","Full Time
On-site"
Production Planning Engineer,Frank Noe Egypt -,"6th of October, Giza, Egypt","Full Time
On-site"
Mechanical / Electrical Technical Office Engineer,CSI -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Instrumentation / Automation Service Engineer,Soulintec -,"Alexandria, Egypt","Full Time
On-site"
Fleet Operations Manager,Confidential -,"Beni Suef, Beni Suef, Egypt","Full Time
On-site"
Architect Tender Engineer,RAQMU for Building and Construction -,"Cairo, Egypt","Full Time
On-site"
After-Sales Operations Engineer,Midea Group -,"Cairo, Egypt","Full Time
On-site"
